"Subject.Number" "Activity.ID" "Activity" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAccMag-mean()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroJerkMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
"1" 1 1 "WALKING" -0.136971176556842 -0.136971176556842 -0.141428809031579 -0.160979552536842 -0.298703679084211 -0.128623450629474 -0.0571194000343158 -0.199252568986316 -0.319308593778947 -0.219688645631579 -0.219688645631579 -0.0744717500625263 -0.186978364526316 -0.325324878894737 -0.398032586842105 -0.103492403002105 -0.321017953894737 -0.381601911789474
"2" 1 2 "WALKING_UPSTAIRS" -0.129927630735849 -0.129927630735849 -0.466503446226415 -0.126735589969811 -0.59488286509434 -0.352395944716981 -0.44265216245283 -0.325961457396226 -0.634665082075472 -0.324970929245283 -0.324970929245283 -0.478991622075472 -0.14861931805283 -0.648553044339623 -0.416260101509434 -0.533059853773585 -0.182985518264151 -0.693930521509434
"3" 1 3 "WALKING_DOWNSTAIRS" 0.0271882914106122 0.0271882914106122 -0.0894474807979592 -0.0757412543673469 -0.295463843346939 0.0965845343040816 0.0262184949326531 -0.185720285744898 -0.281963359177551 0.0198843506265306 0.0198843506265306 -0.0257877197081633 -0.225724368061224 -0.306510645530612 -0.186530301073469 -0.104052260726531 -0.398350390122449 -0.391919876612245
"4" 1 4 "SITTING" -0.948536786170213 -0.948536786170213 -0.987364195531915 -0.93089249 -0.991976341276596 -0.947782922553192 -0.985262126808511 -0.958435589361702 -0.989797547234043 -0.927078418723404 -0.927078418723404 -0.984120024042553 -0.934531840425532 -0.988308728510638 -0.928444801702128 -0.981606177446808 -0.932198374893617 -0.987049617234043
"5" 1 5 "STANDING" -0.984278207358491 -0.984278207358491 -0.992367790566038 -0.976493792830189 -0.994966790566038 -0.985356361132075 -0.99254247754717 -0.984617623396226 -0.994815376981132 -0.981942928867925 -0.981942928867925 -0.993096209433962 -0.978690028679245 -0.994733238679245 -0.982313804716981 -0.992536003396226 -0.978466072075472 -0.994671123207547
"6" 1 6 "LAYING" -0.8419291525 -0.8419291525 -0.9543962646 -0.874759548 -0.96346103 -0.8617676481 -0.9333003608 -0.8621901854 -0.9423669466 -0.79514486386 -0.79514486386 -0.9282456284 -0.81901016976 -0.9358409828 -0.7983009404 -0.9218039756 -0.82431943968 -0.9326606676
"7" 2 1 "WALKING" -0.290407593728814 -0.290407593728814 -0.281424153881356 -0.446549092881356 -0.547911950338983 -0.324289427932203 -0.169064352813559 -0.530704814745763 -0.583249293389831 -0.422544169322034 -0.422544169322034 -0.164150985127119 -0.553019916271186 -0.557798151355932 -0.577105211694915 -0.164091969449153 -0.651792839661017 -0.558104554745763
"8" 2 2 "WALKING_UPSTAIRS" -0.107322679520833 -0.107322679520833 -0.321268911041667 -0.219713472958333 -0.572816438541667 -0.14531853915625 -0.189511136902083 -0.450612184791667 -0.60079849625 -0.205977045295833 -0.205977045295833 -0.21738939458125 -0.377532167604167 -0.597291719166667 -0.36672824375 -0.2604238389625 -0.438620401875 -0.621820202916667
"9" 2 3 "WALKING_DOWNSTAIRS" 0.0899511204978723 0.0899511204978723 0.00565516335106383 -0.162188586930426 -0.410872671489362 0.293424826591489 0.222247409576596 -0.320838543553191 -0.380175306489362 0.215586334889362 0.215586334889362 0.22961718512766 -0.274844110531915 -0.343187875404255 -0.0214787881723404 0.227480732542553 -0.372576755361702 -0.343698985425532
"10" 2 4 "SITTING" -0.967893623913043 -0.967893623913043 -0.986774713043478 -0.946035087173913 -0.991081493913043 -0.96127374826087 -0.983874698913043 -0.971840596086956 -0.989861950869565 -0.953081444130435 -0.953081444130435 -0.984475868043478 -0.961313624130435 -0.989594919565217 -0.955575602173913 -0.984124185869565 -0.961385745217391 -0.989632908913043
